번호,커멘트
326,"자연 속에서 힐링할 수있는 공간이 늘어났으면 좋겠어요. 
무분별한 개발보다... 자연과 같이 숨쉬고 느끼는 공간이 되었으면 합니다. "
327,가성비 좋은먹거리 특화
328,평창 구석구석 홍보가  많이되서 여행시 많은 정보를 얻을 수 있었음 좋겠어요
330,"루지, 곤돌라 등 이용요금이 다소 높은폄임.
이 외 아이들과 함께 할 수 있는 즐길거리가 조금 더 많아지면 좋겠음.
또 병원(소아과)이 멀리 있거나 전문성이 떨어져 위급 상황에 대처가 조금 힘든 편이니 개선되었으면 좋겠음."
331,관광지라는 프레임으로 바가지 요금 씌우는것 근절하면 좋겠습니다.
332,"서울서 자주 오기위해선  KTX와 렌터카 그리고 음식점, 숙박이 연계된 저렴한 가격대가 필요, 지역사랑 상품권이 활성화 될 필요, 평창 홍보 메거진과 홍보대사를 통한 알리기 활성화 해야, 평창의 특산품 개발 한우 비용 너무 고가 문제"
333,서울에서 더 빠른 교통편이 있으면 좋겠고 올림픽 구조물들을 활용한 테마파크같은것도 있으면 좋겠습니다.
334,합리적가격의 숙박시설을 많이 만들어주세요
335,숙소나 음식점등 홍보를 위해 대가받고 쓴 후기가 아닌  솔직후기를 볼수있으면 좋겠어요.
336,앞으로도 자연그대로의 평창이 됐음 좋겠다
337,놀거리 먹거리가 좀 더 풍족했음 좋겠다
338,다른 지역에 없는 관광 컨텐츠로 #이것#하면 평창이지!!!  라  할만한 컨텐츠 개발이 중요한듯
339,볼거리가 좀 다양하게 진행됫으면 좋겠어요
340,"지역 축제가 다양하지 않다고 생각함.. 평창은 겨울의 도시라는 선입견이 있는데.. 봄 여룸 가을에도 다양한 컨텐츠로 고정관념을 깨는 도시로 거듭 성장하길 바란다.  
접근성또한 요즘 좋아지고 있으므로 준비해 나가는 자시가 필요하다"
341,체험학습
342,놀거리가 부족한거 같아요
343,안전하게 해줘요 
344,대중교통 만들어주세요
347,"접근성이 좋아지면 좋겠습니다
"
349,교통편과 음식
350,"아름다운 자연을 꼭 유지해주세요. 
볼거리. 먹거리. 축제. 등 안내 가이드가 있었으면 좋겠고요.  안전하고 쾌적한 가성비좋은 숙박시설도 있었으면 좋겠습니다. "
351,놀거리 먹거리가 대부분 부족한거같아요
352,잘 홍보해주시면 방문하겠습니다~
353, 음식값만 조금 싸진다면 좀더 부담없이 여행할 수 있겠습니다
355,오히려  리조트안 식당은 그래도 괜찮았음..주변유명 한우집이라고 해서 갔는데 비싸기만하고 맛과 위생은 별로였음..불친절하구..다시가고싶지 않았음..오히려 속초쪽은  바가지식당도 있지만  그래도 친절한곳이 더  많았던기억이 ...
356,가족단위 체험학습
357,편안하게 힐링 할 수 있는 컨텐츠가 많아졌으면 좋겠습니다.
358,전라도에서의 접근성이 매우 떨어짐
359,휴가철 성수기때는 가격도 비싸고 불친절함
364,겨울 뿐 아니라 여름에도 즐길수 있는 특색있는 지역 상품이 많아 졌으면 좋겠네요.
365,레포츠 자연힐링 등 콘텐츠 홍보필요
366,"젊은 친구들이 재미있게 즐길 수 있는 관광 요소가 부족했다
특색있는 먹거리와 재밌는 문화 행사를 기대해본다"
367,겨울 눈길차량 대책. 사고목격을 많이했어용!
368,숙박 시설 예약 편의성이 더욱 확대 되었으면 좋겠습니다. 
369,문화체험이 더 많아지면 좋겠오요
370,"코로나이슈로 인한  방역 및 안전성에 선제적으로 대응하는 마케팅을 
진행하면 좋을듯합니다.

예) 코로나로 인한 안전대비가 가장 잘된 관광지의 현장 사진을 찍고
     sns 칭찬 챌린지에 올리기
"
372,아이들과 즐길수있는 액티비티가 늘어났으면 좋겠습니다
373,평창하면 동계올림픽이 생각나서 연계되는 여행상품이 있었으면 합니다
375,많은 분들이 모르는 토속음식등을 소문 많이났음합니다 sns 웹툰같은 활성화도 됬음해요
376,음식문화를 좀 더 활성화 했으면합니다
377,더 많은 전문인력 유치 편리한 교통 정확하고 대중적인 홍보
378,"포스트코로나에 맞게 독립적으로 가족단위 단체 즐길거리 및 위생, 테이크아웃이 가능한 음식종류 기획(한우버거 테이크아웃 전문점 시그니처메뉴개발등) 그리고 국내여행활성화 기회로 이때 관광콘텐츠 잡아야될것같다(강원도 전라도 여행비용이 매우높다는 의견)..."
379,숙박업소의 높은 가격 대비 시설과  음식 가격도 비싸고  만족도는 떨어짐
380,서비스 마인드가 뒤떨어지는 느낌을 받았는데 그 점이 개선되었으면 좋겠다 
381,접근성 개선 필요 및 즐길거리 필요
382,"평창에 사는 지인 소개로 6월에 처음 가봤는데 리조트숙소가 가성비 좋아서 저렴하게 즐기고 왔습니다
겨울스키 아니어도 평창에 있는 워터파크든 발왕산 케이블카든 여러 목장이든 홍보가 더해진다면
관광지로  더 각광받을 수 있을것 같습니다"
383,한우나 메밀을 이용한 특색있는 먹거리. 지방 간선도로정비
384,아이들과 즐길수 있는 공간들이 많아졌으면 좋겠어요
385,다양한 볼거리 놀거리 개발을 기대합니다
386,평창의 자연을 느끼고 즐길수 있는 차별화된 지역행사가 있었으면 좋겠습니다
387,대표적인 음식이 여럿 떠오르지만 보통 강원도 전체를 아우르는 음식들이 생각나지 평창을 대표하는 음식은 잘 떠오르지 않습니다. 
388,일반 식당의 화장실 위생에 신경써주세요
389,전통시장의 활성화
390,"저녁에 가족이 이용가능한 놀거리가 많이 없는게 사실입니다.
여행지에서 저녁시간을 알차게 보낼 수 있었으면 좋겠습니다."
391,교통불편
392,다양한 체험 필요
393,"다양한 놀거리와 대형베이커리카페 등이
생겼으면 좋겠어요"
394,진짜 맛집을 소개해 주세요 사람이 많아서 줄도 길구요
395,가성비 좋으면서 서비스가 좋은 숙소가 많았으면
396,"교통이 거리가 더 먼 속초 강릉가는것보다 더 걸림 저녁에 할게 없음 
"
397,"대형 리조트를 주로 이용하는데, 노후된 탓인지 깔끔하지는 않은편이라... 개선되었으면 해요."
398,가격대가 싸졋으면
399,올림픽을 토대로 볼거리 조성 및 유지
400,이벤트나 인스타 페이스북으로 홍보가 필요
401,먹을거리가 막국수 메밀국수 한우 송어 외엔 딱히 먹을게 없어요 강릉이나 속초처럼 맛집이나 카페가 많이 생겼으면 좋겠어요~ 
402,바가지를 하는 업소들이 의외로 있음. 
403,"교통개선, 너무 좋은곳인데 홍보기 부족하다고 생각이듭니다."
406,음식 맛이..
407,겨울 스포츠 관련 시설을 좀 더 리뉴얼 해주세요~
409,편의시설 더 많아지길 기대합니다
410,인싸 핫플레이스를 컨텐츠로 만들어서 홍보해주세요
411,더 큰 동물원이 있으면 좋겠습니다.
414,주변 숙박시설이조금더 저렴해지면 좋겠어요
415,체험 할수 있눈 곳이 더 많았음 합니다
416,체험할 수 있는게 많았으면 좋겠다
417,좀더 빨리갈수 있는 교통수단이 있으면 좋을것 같다 
418,현지인 전문 맛집홍보부탁해요 찾아가보려구 합니다
419,sns 홍보로 더욱 소문나면 좋겠습니다
422,네이버 블로그가 실제 방문보다는 홍보형 리뷰들이 많다 실제 방문해서 평창을 알리고 구석구석 즐길수 있는 부분들을 각 지역처에 알려주었으면 한다
423,더 놀거리가 많았으면좋겠고 홍보가 덜 되어 가봤던곳만 가는거같아요
424,"처음으로 가본 목장이 너무 좋았습니다. 그런데 너무 기대를 해서인지 양떼들의 위생상태, 목장의 청결 등은 조금 부족했네요. 먹거리도 부족했던 것 같아요. 평창만이 가질 수 있는 목장이라는 아이템을 좀더 보완하여 개선한다면 그 자체만으로 지역의 홍보 요소로 더욱 부각되지 않을까 싶습니다."
426,올림픽이후의 특색을 잘 못찾고있는 것 같습니다..있다고 하여도 홍보부족일지 요새 떠오르는 양양 고성등에 비해 이렇다할 스팟이 없어보여요
427,"다양한 연령대를 커버할 수 있는
먹거리, 체험, 관광 상품이 좀더 많으면 좋을 듯."
428,"위 설문지에 표시했듯이 저녁 시간에 식사 후 조용히 즐길만한 야경길이나 공간이 부족한것 같습니다. 그리고 식당 종사자 분들의 서비스 마인드가 좀 아쉬웠습니다. 특히 손님이 많이 몰리는 식사 시간에 힘드신 건 알지만 저금 더 친절하셨으면 해요. 
그 외 자연과 함께 할 수 있는 프로그램이 많이 개발 되어 있어 다양성 면에서 좋았습니다. 예전에는 양떼목장 정도만 생각했는데 동계올림픽 이후 다양해진 볼거리에 만족합니다. "
429,인프라는 좋은데 콘텐츠가 부족한 느낌이(혹은 홍보가 부족하든가) 들었음. 밤에 운전시 도로가 구간구간 너무 어두워서 무서운 곳들이 종종있음. 깨끗하고 조용한 이미지가 훼손되지  않았으면 좋겠음.
430,올림픽 추억 연계 컨텐츠 개발 필요
431,저렴한 숙박시설
432,아이들을 위한 컨테츠가 많으면 좋겠어요
434,지역 축제나 행사에 대한 홍보를 좀더 많이 했으면 한다
435,평창이 관광도시라고는 하지만...솔직히 목장과 올림픽 시설 제외하면 관광지가 없음.
437,조금 노후되었다는 생각이 좀 들었다. 먹거리가 특색있는 것이 없는듯하다
439,더 많은 홍보나 이벤트가 있으면 지금보다 유명해지지 않을까요
441,지역의 홍보가 중요할 것 같아요
442,어린아이들을 위한 놀거리 즐길거리들도 많이 활성화되길요.
443,숙박이 좀 더 선택권이 있으면 좋겠습니다  수가 적은 느낌 
444,교통이 많이 발달되서 편하게 갔으면 좋겠어요
445,"기넘품도 다양해지고 음식점도 다양해지면좋겠어요
시설들 특히 화장실 청결했으면합니다"
446,"가족들과 함께 즐길만한 관광단지 개발이 되면 좋겠습니다. 
대관령 목장과 양떼 목장 이외에 숲길 체험이라던지 자연진화적인 프로그램 등이 있었으면 좋겠습니다."
447,장터 활성화
448,가족단위의 이색적인 체험행사가 많이 개최되면 좋을 것 같아요~^^숙소 가성비 좋은 호텔에서 편안하게 머물다 간다면 더욱 좋을 것 같습니다~
449,적극적인 홍보가 부족해 보입니다..
450,비용절감
451,좋긴한데 강원도는 바가지인식이 좀 ㅠㅠ
452,여름에 관련된 관광이 더 개발되면 좋겠어요..
453,숙박비가 조금만 내려주세요
454,"교통 불편 평창하면 올림픽 외 떠오르는 이미지 없음 막국수 한우 외 각 지역별  특산물을 이용한 상픔개발필요. 저녁에 볼거리를 만들어 관광객에개 볼거리 제공 필요함 천혜의 자연환경을 최대한 가공하지 않고
보존하면서 매니아들이 지속적으로 방문할 수 있는 고급관광지화 필요"
455,"올림픽 이후에 관리가 잘 안 되고 있다는 이미지가 강합니다.
이 부분이 개선되면 좋겠습니다."
456,더욱더 자연과 함께 즐기고 싶네요
457,가족과 함께할 수 있는 컨텐츠가 의외로 많아서 좋았습니다 좀 더 확장하고 홍보가 더해진다면 좋을것 같습니다 동해쪽과도 가까워서 바다갔다가 평창으로 와서 노는 코스도 좋으니 그렇게 홍보하는것도 방법이지않을까 싶네요
458,업무차 일하러 갔다가 거래처 만나고 오거나 강원도 가는 길에 지나쳐 가는 곳... 아이들 스키장 가는데 따라가거나 데려다 주고 먼저 오는 곳.... 저한테 평창은 머무르는 곳이 아니라 항상 스치는 장소였던 것 같아요. 그래서인지 평창~ 하면 스키장과 평창 올림픽이 떠오릅니다. 그러나 1박 2일이나 2박 3일 스키타러는 가도 평창에 머무르면서 쉬다올 생각은 한번도 해 본적이 없어요. 시설이 잘 갖추어져 있다면 콘텐츠에 대해 잘 홍보하셔야 할 것 같아요. 50대 일하는 여성들이 인터넷 뒤지면서 어디에 어떤 편익과 놀거리 콘텐츠가 있는지 찾아보고 살기 힘들잖아요.ㅠㅠ   ..평창 관광업의 포지셔닝이 어디인가요? 50대 여성을 타겟으로 하는 프로모션 전략이나 콘텐츠가 있는건지요? 몰라서 여쭤보네요. 맛난 향토음식? ㅎㅎ 저는 아직까지 일하는 사람이라 그냥 잠만자다 와요^^
459,고속 버스 시간이 다양했으면 좋겠다.
461,"육백마지기에서 별보기가 감동적이었어요 
코로나 시대에 꼭 숙박업체 아니더라도 간단한 캠핑이나 스텔스 여행이 자리잡힐 수 있으면 좋겠어요"
462,저녁산책을 위한 그런 코스들이 있으면 좋을 것 같아요
463,막히는 도로
465,먹거리와 즐길거리가 분산되어 있어서 딱 여기를 가야겠다라고 생각되는곳이 없다!
466,요즘에는 지리적으로 불편해도 핫플이면 많이 찾아가는데 평창은 그런 요소가 부족한것 같아요. 요즘 트렌드에 맞는 핫플이 있으면 좋을것 같습니다
467,"- 걷기 코스 등등 더 많은 힐링 공간들이 많이 공개되어 쉽게 정보를 찾을 수 있으면 좋겠어요.
사회적 거리두기때문에 사람들 많은 곳보다는 등산이나 산책을 하게 되는데 아이들과 함께 가면 높은 곳 등산은 좀 어려워해서 많이 걸을 수 있는 둘레길 걷기 같은 걷기 코스를 선호하게 되더라고요.

사회적 거리두고 자연도 가까이 할 수 있는 곳에 대한 소개나 정보가 많이 공유되어 쉽게 정보를 찾을 수 있으면 좋을 것 같아요."
468,볼거리와 숙박시설의 차별화가 있었음한다.
470,좀더 교통시설이 편해졌으면 좋겠어요
471,여행가이드 책자 곳곳에 많음녀 좋겠어요
472,"유명한곳이라고하여 가면 볼것도 별로없고 실망이많은 여행이였습니다.
관광거리를 늘리고 유명한관광지들의 허술한 질적인면을 개선해주세요
제가다녀온시점엔 성수기라는 이유로 펜션값이 너무비싸더라구요...
이점도 개선해주세요"
473,"앞으로도 발전하는 평창이 되었으면 좋겠습니다
관광지/편의시설 개선"
474,"평창을 목적지로 여행해보지 못하고
강원도 다른 지역을 가며 잠시 즐길거리를 찾았었어요
놀거리도 숙박시설도 딱히 유명한게 없는거 같고
올림픽시 사용했던 건물이 폐가가 되어 이미지가 그리 좋지 않았어요"
475,먹거리컨텐츠가 조금 부족한거 같아요. 평창하면 떠오르는 시그니처음식을 만들어주세요.
476,다양한 볼거리제공 필요할듯요
477,"평창 특산물, 농산물 등 인터넷으로 쉽게 구매 정말 평창 하면 떠오르는 상품 개발"
479,1박2일 따라잡기 등 스토리가 있는 여행
480,유튜브
481,"남편 고향이 평창이라서 평창올림픽후에 여행을 갔는데 너무 늦은 시간에 도착해서 인지, 어두컴컴했고, 숙소도 옵션이 없어서, 가장 근처에 보이는데서 숙박을 했는데, 만족스럽지 않았어요.
그리고 교통안내판이 잘 되어 있지 않아서, 구경을 제대로 못하고 왔네요. "
484,송어축제같이 큰축제는 좋은데 보다 안전관리와 다양한 것들 체험할수있음좋겠어요
487,더 좋은 접근성과 더 적극적인 서비스
488,축제정보 많이알려주세요
490,"평창 앞으로도 자주 가게 될 곳 같습니다 
동계올림픽과 관련한 관광지가 생각보다 적은 것 같았습니다 "
491,평창 올림픽 이후 관광에 대한 홍보를 개인적으로는 많이 접하지 못한거 같습니다. 좀 더 많은 홍보와 최근 코로나에 대한 위험들이 많은데 얼만큼 방역에 신경쓰는지를 보여주면 마음 편히 방문 할 수 있을거 같습니다.
492,올림픽에 투자했던 요소들을 관광거리로 발전시켰으면 좋겠어요
493,뻔한 즐길거리말고 보다 특색있는 평창만의 색깔로 관광사업이 진행됐으면 좋겠습니다
494,"TV 드라마, 예능에 많이 협찬해서, 노출 최대화 하면 좋을거 같습니다.
"
495,체험할 것이 여러가지였으면 합니다 ^^
497,힐링타임
498,좋은 숙박시설제공. 특히 어린아이들 데리고갈수있는..
499,"맛집 지도, 날씨, 그리고 숙박정보요 후기도 쓸수있게"
500,저녁에 즐길거리가 부족한거 같아 보완했으면 좋겠다
501,"강원도 음식을 워낙 좋아해서 뭐든지 잘 먹지만... 
먹거리촌을 형성해서 관광객들에게 선택권을 줬으면 더 경쟁력있게 가게들이 활성화 될 것이며, 몇몇 리조트 외에 숙박을 하지 않는데.. 중소형 깨끗한 숙박 업체들이 더많이 홍보 되기를 바란다. "
502,숙박비 저렴했으면 좋겠어요
503,"엑티비티한 20대들이즐길수있는
스포츠레저같은게 활성화됬으면 좋겠습니다"
504,스키쟝과 연계되는 프로그램이 많았으면 좋겠어요
505,"숙박비가 더 저렴해져야하고, 놀이 시설 체험시 저렴한 가격대으로 다양하게 이용 할 수 있도록 유도 해야 한다고 생각합니다."
506,여행 코스를 만들면 좋을꺼 같아요
507,대한민국의 대표적인 관광지로 온라인상 좀 더 많은 정보가 공유되어 여행을 계획하기 수월했으면 합니다. 
508,좋은환경인대 주번인들이 잘 모르는거같아요 적극적인 홍보가 필요할듯 합니다
509,가는 길이 편리했으면 좋겠어요.
510,청소년들이 즐길만한게 없어요 많이 늘려주세요
511,"낮시간에는 주로 계곡이나 엑티비티를 즐기며 시간을 보냈는데
저녁을 먹고나서부터는 딱히 할게 없어서 펜션에서 쉬었습니다.
저녁시간을 활용한 이벤트가 다양했으면 좋겠네요
지금은 코로나19로 사회적거리두기때문에 진행하기에 어려움이 크겠지만
장기적으로는 꼭 필요하다고 생각합니다.
예)평창 야시장
평창 지역특산품 홍보와 먹거리 판매를 통한 이벤트로 올림핑 이후
침체되어있는 지역경제 활성화에도 크게 도움되고 
평창을 상징하는 랜드마크가 형성되 하나의 지역문화로 만들어도 좋을것 같네요 "
512,"다양한 즐길거리, 레포츠"
515,올림픽관련 투어가 많아졌음 좋겠어요
516,수도권보다는 지방이 위생 및 안전 관리가 상대적으로 덜 철저한거 같아서 그런 부분을 더욱 섬세하고 정확하게 신경쓰면 안심하고 국내 여행이 촉진될거 같아요~
520,즐길거리~ 풍부했음 좋겠어요 
521,교통
522,"평창군에서 홍보가 부족하다는 느낌....,"
523,식당들이 문을 일찍 닫는것같아요. 늦게까지 하는 식당이 많아지면 좋겠어요.
524,더 재미있는 놀거리가 있었음 좋겠어요
526,"가는길이 좀더 쉽웠으면
먹을거리에 대한 정보가 많았으면
체험의 다양성"
528,성수기 시기의 숙소가격 안정화
529,무엇이 됐든 훼손하면서까지 발전 및 개발은 하지않고 있는 그대로의 모습을 리모델링했으면 하는 바램입니다. 힐링 평창 유지를 위하여
532,한우가 가격대비 비싼편같고 평창만의 가성비 토속음식이 있음좋을것같아요
533,숙박시설 주변에 놀거리가 없어서 보완이 필요합니다
534,여행객들에게 바가지 씌우는 일이 없는 여행지가 되길 바랍니다
536,자연 힐링도시로 평창이 더욱 성장하길 바라겠습니다.
537,"자연과 함께 하고 가족과 함께 하는
힐링되는 그런 프로그램이 있는 곳이 있으면 좋겠습니다"
538,"좋은 곳이지만 거리가 멀어서 선뜻 주말에 나설수 없는 곳입니다.
접근성이 좋아지면 한번 갈것도 두번 가게될것 같습니다."
539,펑창둘레길이나 속초시장처럼 시장에 인기메뉴개발
540,저녁의 놀거리리를 기대해봅니다.
541,자연환경응 더 느낄 수있는 관광자원을 개발해주면 좋겠다
543,"노포가 적습니다..
오래된 식당을 유지하여 평창 특색이 필요합니다"
544,"동계올림픽때 방문하면서, 수도권에서 접근하기에 도로도 많이 좋아져서 예전만큼 먼 곳이 아니라는 것을 느꼈습니다. 먹을거리 즐길거리만 있다면 충분히 재방문하고 싶은 곳입니다. "
545,평창이 다른 지역보다 유난히 물가가 비싼 느낌이 있습니다. 그 부분만 좀 보완되면 좋겠어요
546,"관광지와 숙소의 접근성이 좋았으면 좋겠음
워터파크 포함된 리조트들이 많았으면 좋겠음
다양한 체험거리가 많았으면 좋겠음"
548,아이들이 놀거리와 학습을 같이 할수있는곳이  많이생긴다면 가족단위로 많이 여행갈듯 해요~
549,먼거리인만큼 아이들이즐길거리가 활성화되었음 좋겠어요
550,"다양한  놀거리랑  먹거리(장터)가  있었으면 좋겠습니다
"
551,인터넷에 좀 더 자세하게 정보가 나오는 곳이 있으면 좋겠습니다.
552,"큰 불편사항은 없고 좋은 호텔이 많이 지어지고
레져(고급 수영장이 개발 되었으면 좋겠습니다)"
553,편안하게 힐링하고 싶은 평창이 되었으면 좋겠어요 
554,깨끗한 숙박시설이 더 많아지면 좋겠습니다(ex.키즈풀빌라)
555,트레킹코스를많이만들어주시길바랍니다
557,축제 먹거리 시장을 좀 활성화해서 많은사람들에게 평창을 알렸으면 좋겠습니다 
559,"평창은 정말 자주 가는 곳입니다.
다른 체험들이없어도 힐링하는곳으로요
하지만 아이들을 위한 체험, 이왕이면 자연과함께  하는거라면 적극적으로 참여할 생각이 있습니다."
560,특정 시즌에 사람들이 몰리는 시기에는 물가가 오르는 현상이 없기를 바랍니다
561,평창의 자랑거리를 적극적으로 홍보할 필요성을 느낍니다. 강릉.속초에 비해 평창의 인지도가 높지 않다고 생각합니다.
565,올림픽 관련 시설들을 이용한 대중의 참여를 유도하였으면 좋겠어요
566,"평창올림픽땐 오히려 못 가보다가 올림픽 폐막후에 가게 되었는데
이 곳에 그런 큰 축제가 있었나싶을 정도로 
뭔가.초라한 모습이었어요. ㅠㅠ

그 때의 분위기을.이어가지못하는 거 같구요,
뭔가 사람들이 올만한 콘텐츠가 부족해보이구요. 가족단위의컨텐츠가 부족해보여서 아이들이 이용할 만한 시설이 많아졌음 합니다."
567,"타지역 대비 볼거리가 없는 편입니다. 평창은 주로 자연 경관을 힐링 포인트로 삼아서 여행 가고 있습니다.
좀더 다채로운 볼거리와 체험 위주 액티비티 활동이 많아졌으면 좋겠습니다 "
568,온가족이다양하게즐길수있는컨텐츠가더많아졌으면좋겠습니다
569,가족들과 함께 경험하거나 즐길 수 있는 프로그램 필요 
570,"힐링 프로그램,놀거리 많이 만들어주세요"
572,트래킹 코스와 연계됭 자연속 숙소
574,평창하면 훠닉스파크와 양떼목장 밖에 떠오르지 않아서 특별한 이미지를 만드는 것이 필요할것 같아요
575,평창하면 떠오르는 행사나 컨텐츠가 있으면 좋을듯합니다.
576,아이들 체험할 수 있는 목장이나 기타 체험 시설들이 더 많아졌으면 좋겠습니다.
577,길이 너무 막혀요
578,평창은 좋은 이미지가 있었는데 생각보다 놀거나 볼게 없어 답답했다. 특히 저녁에 들렀는데 정말 어둠의 도시처럼 할 게 없어 당황스러웠다. 관광객을 위해 저녁 놀거리를 만들어 주세요!!!
579,지역축제 홍보 많이해주세요
580,"KTX와 연계되는 대중교통으로, 차없이도 당일치기 힐링여행이 가능하면 좋겠습니다!"
581,평창하면 그냥 스키나골프정도인데 다양한 역사문화탐방과 힐링하며 즐길수 있는 것들이 준비되었으면 합니다
582,"저녁이되면 갈곳이없어 리조트 안에서만 있게되요.
놀거리,먹을거리,볼거리를 만들어 주세요."
583,"아이들이 즐길수 있는 콘텐츠가 많았으면 좋겠어요.
그래야 가족이 함꼐 즐길수 있어서요~ "
584,좋음
585,음식점이 다양하지 않아서 선택 하기 쉽지 않았던갓 같아요~ 다양한 지역 콘텐츠가 있어서 더 활성화 되었음 좋겠습니다^^
586,코로나 전 후로 많은 산업군이 바뀐다고 합니다. 평창은 올림픽 이후로 더 많은 투자와 홍보가 필요했었다고 봅니다 코로나로 인해 위기지만 이를 기회로 삼아 보다 안전하고 올림픽 그 이상의 볼거리와 즐길거리가 있는 평창으로 도약하길 바라봅니다.
587,제2영동고속도로덕분에 교통이좋은데 서울에서 오기좋게 홍보를 더했으면ㅡ 놀거리 힐링거리가 더많았으면좋겠습니다
590,"거대유명리조트를 제외한 숙박업체들이 많기는 하지만 가격에 비해 운영자들의 서비스마인드가 부족합니다. 
수도권에서 비교적 접근하기 좋은 위치이므로 무박여행지로 하루코스가 있어도 좋을것 같아요."
592,숙소예약 되게 깨끗한 숙소 많이 만들어주세요
593,올림픽 유치 기념으로 인한 컨텐츠 제작을 한다면 아이들 교육상의 이유로도 더 많이 찾게 될 것 같습니다
594,시대가 시대인 만큼 위생  방역에 신경 써 주세요 
595,"힐링파크같은곳(무료)을  만들었으면좋겠어요
그런곳에서 지역농산품도 팔고 위생적인 음식점들도 많이 들어서게해서 
밥도먹고 산책도하고 캠핑도 즐길수있는 곳을 많이 만들었으면 좋겠어요~서울에서 가기 가까운곳은 아닌데 뭔가 여기아니면 안된다 하는 특색이 있어야 자주갈것같아요

힐링파크 평창
산책길(데크길~유모차길)
킥보드나 인라인탈수있는 길
놀이터
무료 물놀이터
미니미니 올림픽경기체험존(애들위주)
캠핑존
지역농산품판매(직거래장터)
평창먹거리(평창에서만 먹는 특화된 먹거리)
이런곳이 한곳에 있어서 가족단위가 많이 찾는곳이 있음 좋겠어요~캠핑이지만 취사금지해서 도시락먹거나 음식은 음식점에서 사먹고 자고가는 캠핑이아닌 피크닉개념으로요~
리조트도 좋지만 자연경관이 워낙 좋은곳이니 저런시설이 한번에있는 무료공원만들었음 좋겠다생각했어요
"
596,슥박시설의 낙후된것을 보완했으면 좋겠어요
598,편의시설이 안전하게 이용할수 있도록 기대할께요
599,"아이가없을땐 펜션을 자주이용했는데 서비스나 친절도가 낮았습니다.
가까워서 자주갔었는데 지금은 아이때문에 리조트를 주로가는데 펜션보다 가격도저렴하고 편의시설 등 서비스 친절도 더 높아요. 근데 평창에있는 큰 리조트들은 좀 오래되서 개선이 필요한부분들이많아요. 침구등 위생사항과 관련있으니 개선 해주셨음해요."
600,평창은 공기도 좋고 자연환경이 좋아서 힐링하기에 딱인데 생각보다 치유숲 같은 느낌의 정돈된 숲길이나 힐링길이 맣ㄴ지는 않은거 같다. 무분별한 개발 보다 자연친화적 개발을 해 주면 좋겠다 
601,"각각의 홍보가 아닌 평창 힐링포인트 선정, 홍보 필요
(정선군의 테마기획 홍보 참조)"
602,"평창은 한국의 알프스로도 유명하잖아요.
지금처럼 더운 여름 시원하고 깨끗한 평창의 공기를 마신다면 여름의 열기가 가실 거 같아요.

계절별 장점이 많이 노출되었으면 좋겠습니다."
603,"접근성이나 숙박에있어서 그리 좋은 느낌은 아닌거같아요~
평창 숙박을 검색했을때 올림픽때 글이 안보일정도로 숙박시설관련 좋은글 기사 후기가 많아졌으면 좋겠네요~"
604,700고지 평창 자연환경을 잘 살려 좋은 관광자원을 개발해주세요
605,깨끗하고편한 숙소가 많으면 좋겠다
606,"자주 가지만, 볼거리나 먹을거리 놀거리가 많지 않아 이제 뭘 해야할지 모르겠습니다. "
607,숙박시설이 좀 더 깨끗하길요 
608,"식당가 주변 음식값이 대체적으로비싸며 값에 비해 음식의질은 떨어졌다 
"
611,"가족이 함께가서 연령대별로 다양하게 즐길 수 있는 콘텐츠가 제공되면 좋겠습니다. 

이쁘고 특색있는 숙박시설들이 더 다양하게 많았으면"
612,"평창은 저희 지역에서는 작심가고 가야하는 먼곳입니다
당연히 상인분들은 이익을추구하셔야겠지만 지역경제와 평창을 살리기위해서는 볼거리 먹거리를 양심적인 금액과 가성비가 중요하다고 생각합니다 그러기위해서는 시에서 많은 도움이 필요하겠지요"
615,"
겨울에 보드 타러 가지만 

가을에 단풍구경도 가는 지역인데

겨울과 가을은 차이가 많이 나더군요

열리지않는 식당이라던지 이런부분이 보완되면 좋겠습니다."
616,불편사항 없습니다. 외국인들이 많이 왔으면 좋겠네요
618,관광지나 관광상품 및 맛있는 음식에 대해서 보다 홍보가 필요해 보입니다
619,"쉬면서 볼 수 있는게 없어요. 인상이 깊은것도 없었고, 그냥 시간상 멀리 가기 힘들 때 가게 되는 느낌만 있어요. 그런 제 기억에도 양떼목장을 다녀온 기억은 분명히 남아 있습니다. 자연 경관이 살아있고, 휴식을 하고 직접적인 경험(양한테 먹이주기)가 가능해서 더 기억에 남는거 같아요. 양떼목장처럼 특징점이 있고 꼭 가야할 컨텐츠가 필요해 보입니다. 가까워도 굳이 가야할 이유나, 가서 꼭 보고 싶은 것, 평창만 가진 포인트가 필요할 것 같습니다."
620,숙소가 전체적으로 너무 비싼 느낌. 회사 콘도회원권 아니면 내 돈주고 잡기에 비싸다. 
621,"주말 고속도로가 너무 막혀서 문제지...
전반적으로 평창 좋습니다. 산에 둘러쌓인 자연환경이 무척 좋았어요. 아이들 체험이 좀 어려가지로 많았으면 좋겠습니다. "
622,밤이 되니 너무 어두워서 운전하기 힘들었다 도로 조명이 밝았으면... 
623,"힐링을 주제로 다양한 체험관광이 많으면 좋겠고 
다양한 음식점이 생기면 좋겠어요. 
숲을 즐길 수 있는 음식점이나 카페도 좋구요. "
624,"평창올림픽 이후의 올림픽 시설 운영이 미흡함.
"
